branch,program,i_refs,i1_misses,d_refs,d1_misses,lld_misses,ll_refs,ll_misses
main,chibicc_combined.tea,81102523,146489,32435231,521560,264639,668049,266496
main,chibicc_parse.tea,42637896,52045,17082516,280365,150654,332410,152429
main,gzip.tea,35695677,78907,14645686,231202,99265,310109,101104
main,zlib.tea,79608192,111137,32700342,590175,367839,701312,369723
compact-token,chibicc_combined.tea,77676825,81053,30803135,480579,255070,561632,256755
compact-token,chibicc_parse.tea,41568554,36194,16560699,262370,144569,298564,146175
compact-token,gzip.tea,34328687,46231,13996139,207654,89816,253885,91481
compact-token,zlib.tea,77475094,70318,31577129,552897,350085,623215,351809
class-ids,chibicc_combined.tea,75317059,78167,29771061,439268,221836,517435,223693
class-ids,chibicc_parse.tea,41238321,33335,16351828,241219,127963,274554,129742
class-ids,gzip.tea,34150817,48687,13810601,202330,84116,251017,85952
class-ids,zlib.tea,69172238,74631,28111985,484284,282247,558915,284121
compact-type,chibicc_combined.tea,50926489,73983,20052631,306445,135158,380428,136858
compact-type,chibicc_parse.tea,27016189,35318,10691805,165437,76767,200755,78377
compact-type,gzip.tea,26273896,38785,10441765,160125,60725,198910,62384
compact-type,zlib.tea,50210689,65947,20143758,339572,179739,405519,181435
struct-of-arrays,chibicc_combined.tea,17151668,27890,8554436,92656,32157,120546,34021
struct-of-arrays,chibicc_parse.tea,8551404,12328,4298945,46559,17244,58887,19025
struct-of-arrays,gzip.tea,11165476,32682,5479927,51498,19558,84180,21484
struct-of-arrays,zlib.tea,18098744,49989,8662106,72305,30828,122294,32799
