branch,program,iteration,vsz_pr,rss_pr,vsz_tc,rss_ts,vsz_cg,rss_cg
none,chibicc_combined.tea,1,7128,6924,8712,9148,1608,1320
none,chibicc_combined.tea,2,7128,6984,8712,9268,1608,1320
none,chibicc_combined.tea,3,7128,6924,8712,9208,1608,1320
none,chibicc_combined.tea,4,7128,6924,8712,9148,1608,1320
none,chibicc_combined.tea,5,7128,6936,8712,9208,1608,1320
none,chibicc_combined.tea,6,7128,6984,8712,9268,1608,1320
none,chibicc_combined.tea,7,7128,6924,8712,9148,1608,1320
none,chibicc_combined.tea,8,7128,6924,8712,9088,1608,1320
none,chibicc_combined.tea,9,7128,6984,8712,9268,1608,1320
none,chibicc_combined.tea,10,7128,6924,8712,9088,1608,1320
none,chibicc_combined.tea,11,7128,6984,8712,9268,1608,1320
none,chibicc_combined.tea,12,7128,6924,8712,9208,1608,1320
none,chibicc_combined.tea,13,7128,6984,8712,9268,1608,1320
none,chibicc_combined.tea,14,7128,6984,8712,9208,1608,1320
none,chibicc_combined.tea,15,7128,6984,8712,9268,1608,1320
none,chibicc_combined.tea,16,7128,6924,8712,9164,1608,1320
none,chibicc_combined.tea,17,7128,6984,8712,9208,1608,1320
none,chibicc_combined.tea,18,7128,6924,8712,9220,1608,1320
none,chibicc_combined.tea,19,7128,6940,8712,9208,1608,1320
none,chibicc_combined.tea,20,7128,6984,8712,9268,1608,1320
none,chibicc_combined.tea,21,7128,6924,8712,9148,1608,1320
none,chibicc_combined.tea,22,7128,6984,8712,9268,1608,1320
none,chibicc_combined.tea,23,7128,6924,8712,9088,1608,1328
none,chibicc_combined.tea,24,7128,6924,8712,9164,1608,1324
none,chibicc_combined.tea,25,7128,6924,8712,9088,1608,1320
none,chibicc_combined.tea,26,7128,6924,8712,9208,1608,1328
none,chibicc_combined.tea,27,7128,6924,8712,9208,1608,1320
none,chibicc_combined.tea,28,7128,6924,8712,9220,1608,1320
none,chibicc_combined.tea,29,7128,6924,8712,9148,1608,1324
none,chibicc_combined.tea,30,7128,6864,8712,9208,1608,1320
none,chibicc_combined.tea,31,7128,6936,8712,9208,1608,1320
none,chibicc_combined.tea,32,7128,6924,8712,9208,1608,1320
none,chibicc_combined.tea,33,7128,6924,8712,9088,1608,1320
none,chibicc_combined.tea,34,7128,6924,8712,9148,1608,1320
none,chibicc_combined.tea,35,7128,6864,8712,9208,1608,1320
none,chibicc_combined.tea,36,7128,6924,8712,9148,1608,1320
none,chibicc_combined.tea,37,7128,6924,8712,9148,1608,1320
none,chibicc_combined.tea,38,7128,6924,8712,9208,1608,1320
none,chibicc_combined.tea,39,7128,6924,8712,9088,1608,1328
none,chibicc_combined.tea,40,7128,6984,8712,9208,1608,1320
none,chibicc_combined.tea,41,7128,6864,8712,9208,1608,1320
none,chibicc_combined.tea,42,7128,6924,8712,9148,1608,1320
none,chibicc_combined.tea,43,7128,6924,8712,9208,1608,1320
